year,rgn_id,species,common_name,category,postcards,magnets,tour_operators,pmt,wildlife_trusts
2016,1,Labrus mixtus,Cuckoo Wrasse,LC,0,0,0,0,1
2017,1,Labrus mixtus,Cuckoo Wrasse,LC,0,0,0,0,1
2018,1,Labrus mixtus,Cuckoo Wrasse,LC,0,0,0,0,1
2015,1,Lepadogaster purpurea,Cornish Sucker,LC,0,0,0,0,1
2016,1,Lepadogaster purpurea,Cornish Sucker,LC,0,0,0,0,1
2017,1,Lepadogaster purpurea,Cornish Sucker,LC,0,0,0,0,1
2018,1,Lepadogaster purpurea,Cornish Sucker,LC,0,0,0,0,1
2014,1,Lipophrys pholis,Shanny,LC,0,0,0,0,1
2015,1,Lipophrys pholis,Shanny,LC,0,0,0,0,1
2016,1,Lipophrys pholis,Shanny,LC,0,0,0,0,1
2017,1,Lipophrys pholis,Shanny,LC,0,0,0,0,1
2018,1,Lipophrys pholis,Shanny,LC,0,0,0,0,1
2015,1,Mola mola,Ocean Sunfish,VU,0,0,0,0,1
2016,1,Mola mola,Ocean Sunfish,VU,0,0,0,0,1
2017,1,Mola mola,Ocean Sunfish,VU,0,0,0,0,1
2018,1,Mola mola,Ocean Sunfish,VU,0,0,0,0,1
2015,1,Sardina pilchardus,European Pilchard,LC,0,0,0,0,0
2016,1,Sardina pilchardus,European Pilchard,LC,0,0,0,0,0
2017,1,Sardina pilchardus,European Pilchard,LC,0,0,0,0,0
2018,1,Sardina pilchardus,European Pilchard,LC,0,0,0,0,0
2011,1,Scomber scombrus,Atlantic Mackerel,LC,1,0,1,2,1
2012,1,Scomber scombrus,Atlantic Mackerel,LC,1,0,1,2,1
2013,1,Scomber scombrus,Atlantic Mackerel,LC,1,0,1,2,1
2014,1,Scomber scombrus,Atlantic Mackerel,LC,1,0,1,2,1
2015,1,Scomber scombrus,Atlantic Mackerel,LC,1,0,1,2,1
2016,1,Scomber scombrus,Atlantic Mackerel,LC,1,0,1,2,1
2017,1,Scomber scombrus,Atlantic Mackerel,LC,1,0,1,2,1
2018,1,Scomber scombrus,Atlantic Mackerel,LC,1,0,1,2,1
2000,1,Alca torda,Razorbill,LR/lc,0,0,0,0,1
2001,1,Alca torda,Razorbill,LR/lc,0,0,0,0,1
2002,1,Alca torda,Razorbill,LR/lc,0,0,0,0,1
2003,1,Alca torda,Razorbill,LR/lc,0,0,0,0,1
2004,1,Alca torda,Razorbill,LC,0,0,0,0,1
2005,1,Alca torda,Razorbill,LC,0,0,0,0,1
2006,1,Alca torda,Razorbill,LC,0,0,0,0,1
2007,1,Alca torda,Razorbill,LC,0,0,0,0,1
2008,1,Alca torda,Razorbill,LC,0,0,0,0,1
2009,1,Alca torda,Razorbill,LC,0,0,0,0,1
2010,1,Alca torda,Razorbill,LC,0,0,0,0,1
2011,1,Alca torda,Razorbill,LC,0,0,0,0,1
2012,1,Alca torda,Razorbill,LC,0,0,0,0,1
2013,1,Alca torda,Razorbill,LC,0,0,0,0,1
2014,1,Alca torda,Razorbill,LC,0,0,0,0,1
2015,1,Alca torda,Razorbill,NT,0,0,0,0,1
2016,1,Alca torda,Razorbill,NT,0,0,0,0,1
2017,1,Alca torda,Razorbill,NT,0,0,0,0,1
2018,1,Alca torda,Razorbill,NT,0,0,0,0,1
2000,1,Catharacta skua,Great Skua,LR/lc,0,0,1,1,1
2001,1,Catharacta skua,Great Skua,LR/lc,0,0,1,1,1
2002,1,Catharacta skua,Great Skua,LR/lc,0,0,1,1,1
2003,1,Catharacta skua,Great Skua,LR/lc,0,0,1,1,1
2004,1,Catharacta skua,Great Skua,LC,0,0,1,1,1
2005,1,Catharacta skua,Great Skua,LC,0,0,1,1,1
2006,1,Catharacta skua,Great Skua,LC,0,0,1,1,1
2007,1,Catharacta skua,Great Skua,LC,0,0,1,1,1
2008,1,Catharacta skua,Great Skua,LC,0,0,1,1,1
2009,1,Catharacta skua,Great Skua,LC,0,0,1,1,1
2010,1,Catharacta skua,Great Skua,LC,0,0,1,1,1
2011,1,Catharacta skua,Great Skua,LC,0,0,1,1,1
2012,1,Catharacta skua,Great Skua,LC,0,0,1,1,1
2013,1,Catharacta skua,Great Skua,LC,0,0,1,1,1
2014,1,Catharacta skua,Great Skua,LC,0,0,1,1,1
2015,1,Catharacta skua,Great Skua,LC,0,0,1,1,1
2016,1,Catharacta skua,Great Skua,LC,0,0,1,1,1
2017,1,Catharacta skua,Great Skua,LC,0,0,1,1,1
2018,1,Catharacta skua,Great Skua,LC,0,0,1,1,1
2000,1,Fratercula arctica,Atlantic Puffin,LR/lc,1,0,1,2,1
2001,1,Fratercula arctica,Atlantic Puffin,LR/lc,1,0,1,2,1
2002,1,Fratercula arctica,Atlantic Puffin,LR/lc,1,0,1,2,1
2003,1,Fratercula arctica,Atlantic Puffin,LR/lc,1,0,1,2,1
2004,1,Fratercula arctica,Atlantic Puffin,LC,1,0,1,2,1
2005,1,Fratercula arctica,Atlantic Puffin,LC,1,0,1,2,1
2006,1,Fratercula arctica,Atlantic Puffin,LC,1,0,1,2,1
2007,1,Fratercula arctica,Atlantic Puffin,LC,1,0,1,2,1
2008,1,Fratercula arctica,Atlantic Puffin,LC,1,0,1,2,1
2009,1,Fratercula arctica,Atlantic Puffin,LC,1,0,1,2,1
2010,1,Fratercula arctica,Atlantic Puffin,LC,1,0,1,2,1
2011,1,Fratercula arctica,Atlantic Puffin,LC,1,0,1,2,1
2012,1,Fratercula arctica,Atlantic Puffin,LC,1,0,1,2,1
2013,1,Fratercula arctica,Atlantic Puffin,LC,1,0,1,2,1
2014,1,Fratercula arctica,Atlantic Puffin,LC,1,0,1,2,1
2015,1,Fratercula arctica,Atlantic Puffin,VU,1,0,1,2,1
2016,1,Fratercula arctica,Atlantic Puffin,VU,1,0,1,2,1
2017,1,Fratercula arctica,Atlantic Puffin,VU,1,0,1,2,1
2018,1,Fratercula arctica,Atlantic Puffin,VU,1,0,1,2,1
2000,1,Fulmarus glacialis,Northern Fulmar,LR/lc,0,0,0,0,1
2001,1,Fulmarus glacialis,Northern Fulmar,LR/lc,0,0,0,0,1
2002,1,Fulmarus glacialis,Northern Fulmar,LR/lc,0,0,0,0,1
2003,1,Fulmarus glacialis,Northern Fulmar,LR/lc,0,0,0,0,1
2004,1,Fulmarus glacialis,Northern Fulmar,LC,0,0,0,0,1
2005,1,Fulmarus glacialis,Northern Fulmar,LC,0,0,0,0,1
2006,1,Fulmarus glacialis,Northern Fulmar,LC,0,0,0,0,1
2007,1,Fulmarus glacialis,Northern Fulmar,LC,0,0,0,0,1
2008,1,Fulmarus glacialis,Northern Fulmar,LC,0,0,0,0,1
2009,1,Fulmarus glacialis,Northern Fulmar,LC,0,0,0,0,1
2010,1,Fulmarus glacialis,Northern Fulmar,LC,0,0,0,0,1
2011,1,Fulmarus glacialis,Northern Fulmar,LC,0,0,0,0,1
2012,1,Fulmarus glacialis,Northern Fulmar,LC,0,0,0,0,1
2013,1,Fulmarus glacialis,Northern Fulmar,LC,0,0,0,0,1
2014,1,Fulmarus glacialis,Northern Fulmar,LC,0,0,0,0,1
2015,1,Fulmarus glacialis,Northern Fulmar,LC,0,0,0,0,1
2016,1,Fulmarus glacialis,Northern Fulmar,LC,0,0,0,0,1
2017,1,Fulmarus glacialis,Northern Fulmar,LC,0,0,0,0,1
2018,1,Fulmarus glacialis,Northern Fulmar,LC,0,0,0,0,1
2000,1,Gulosus aristotelis,European Shag,LR/lc,0,0,0,0,1
2001,1,Gulosus aristotelis,European Shag,LR/lc,0,0,0,0,1
2002,1,Gulosus aristotelis,European Shag,LR/lc,0,0,0,0,1
2003,1,Gulosus aristotelis,European Shag,LR/lc,0,0,0,0,1
2004,1,Gulosus aristotelis,European Shag,LC,0,0,0,0,1
2005,1,Gulosus aristotelis,European Shag,LC,0,0,0,0,1
2006,1,Gulosus aristotelis,European Shag,LC,0,0,0,0,1
2007,1,Gulosus aristotelis,European Shag,LC,0,0,0,0,1
2008,1,Gulosus aristotelis,European Shag,LC,0,0,0,0,1
2009,1,Gulosus aristotelis,European Shag,LC,0,0,0,0,1
2010,1,Gulosus aristotelis,European Shag,LC,0,0,0,0,1
2011,1,Gulosus aristotelis,European Shag,LC,0,0,0,0,1
2012,1,Gulosus aristotelis,European Shag,LC,0,0,0,0,1
2013,1,Gulosus aristotelis,European Shag,LC,0,0,0,0,1
2014,1,Gulosus aristotelis,European Shag,LC,0,0,0,0,1
2015,1,Gulosus aristotelis,European Shag,LC,0,0,0,0,1
2016,1,Gulosus aristotelis,European Shag,LC,0,0,0,0,1
2017,1,Gulosus aristotelis,European Shag,LC,0,0,0,0,1
2018,1,Gulosus aristotelis,European Shag,LC,0,0,0,0,1
2000,1,Hydrobates pelagicus,European Storm-petrel,LR/lc,0,0,1,1,1
2001,1,Hydrobates pelagicus,European Storm-petrel,LR/lc,0,0,1,1,1
2002,1,Hydrobates pelagicus,European Storm-petrel,LR/lc,0,0,1,1,1
2003,1,Hydrobates pelagicus,European Storm-petrel,LR/lc,0,0,1,1,1
2004,1,Hydrobates pelagicus,European Storm-petrel,LC,0,0,1,1,1
2005,1,Hydrobates pelagicus,European Storm-petrel,LC,0,0,1,1,1
2006,1,Hydrobates pelagicus,European Storm-petrel,LC,0,0,1,1,1
2007,1,Hydrobates pelagicus,European Storm-petrel,LC,0,0,1,1,1
2008,1,Hydrobates pelagicus,European Storm-petrel,LC,0,0,1,1,1
2009,1,Hydrobates pelagicus,European Storm-petrel,LC,0,0,1,1,1
2010,1,Hydrobates pelagicus,European Storm-petrel,LC,0,0,1,1,1
2011,1,Hydrobates pelagicus,European Storm-petrel,LC,0,0,1,1,1
2012,1,Hydrobates pelagicus,European Storm-petrel,LC,0,0,1,1,1
2013,1,Hydrobates pelagicus,European Storm-petrel,LC,0,0,1,1,1
2014,1,Hydrobates pelagicus,European Storm-petrel,LC,0,0,1,1,1
2015,1,Hydrobates pelagicus,European Storm-petrel,LC,0,0,1,1,1
2016,1,Hydrobates pelagicus,European Storm-petrel,LC,0,0,1,1,1
2017,1,Hydrobates pelagicus,European Storm-petrel,LC,0,0,1,1,1
2018,1,Hydrobates pelagicus,European Storm-petrel,LC,0,0,1,1,1
2014,1,Larus argentatus,European Herring Gull,LC,1,1,1,3,1
2015,1,Larus argentatus,European Herring Gull,LC,1,1,1,3,1
2016,1,Larus argentatus,European Herring Gull,LC,1,1,1,3,1
2017,1,Larus argentatus,European Herring Gull,LC,1,1,1,3,1
2018,1,Larus argentatus,European Herring Gull,LC,1,1,1,3,1
2000,1,Larus marinus,Great Black-backed Gull,LR/lc,1,0,1,2,1
2001,1,Larus marinus,Great Black-backed Gull,LR/lc,1,0,1,2,1
2002,1,Larus marinus,Great Black-backed Gull,LR/lc,1,0,1,2,1
2003,1,Larus marinus,Great Black-backed Gull,LR/lc,1,0,1,2,1
2004,1,Larus marinus,Great Black-backed Gull,LC,1,0,1,2,1
2005,1,Larus marinus,Great Black-backed Gull,LC,1,0,1,2,1
2006,1,Larus marinus,Great Black-backed Gull,LC,1,0,1,2,1
2007,1,Larus marinus,Great Black-backed Gull,LC,1,0,1,2,1
2008,1,Larus marinus,Great Black-backed Gull,LC,1,0,1,2,1
2009,1,Larus marinus,Great Black-backed Gull,LC,1,0,1,2,1
2010,1,Larus marinus,Great Black-backed Gull,LC,1,0,1,2,1
2011,1,Larus marinus,Great Black-backed Gull,LC,1,0,1,2,1
2012,1,Larus marinus,Great Black-backed Gull,LC,1,0,1,2,1
2013,1,Larus marinus,Great Black-backed Gull,LC,1,0,1,2,1
2014,1,Larus marinus,Great Black-backed Gull,LC,1,0,1,2,1
2015,1,Larus marinus,Great Black-backed Gull,LC,1,0,1,2,1
2016,1,Larus marinus,Great Black-backed Gull,LC,1,0,1,2,1
2017,1,Larus marinus,Great Black-backed Gull,LC,1,0,1,2,1
2018,1,Larus marinus,Great Black-backed Gull,LC,1,0,1,2,1
2000,1,Larus ridibundus,Black-headed Gull,LR/lc,0,0,1,1,1
2001,1,Larus ridibundus,Black-headed Gull,LR/lc,0,0,1,1,1
2002,1,Larus ridibundus,Black-headed Gull,LR/lc,0,0,1,1,1
2003,1,Larus ridibundus,Black-headed Gull,LR/lc,0,0,1,1,1
2004,1,Larus ridibundus,Black-headed Gull,LC,0,0,1,1,1
2005,1,Larus ridibundus,Black-headed Gull,LC,0,0,1,1,1
2006,1,Larus ridibundus,Black-headed Gull,LC,0,0,1,1,1
2007,1,Larus ridibundus,Black-headed Gull,LC,0,0,1,1,1
2008,1,Larus ridibundus,Black-headed Gull,LC,0,0,1,1,1
2009,1,Larus ridibundus,Black-headed Gull,LC,0,0,1,1,1
2010,1,Larus ridibundus,Black-headed Gull,LC,0,0,1,1,1
2011,1,Larus ridibundus,Black-headed Gull,LC,0,0,1,1,1
2012,1,Larus ridibundus,Black-headed Gull,LC,0,0,1,1,1
2013,1,Larus ridibundus,Black-headed Gull,LC,0,0,1,1,1
2014,1,Larus ridibundus,Black-headed Gull,LC,0,0,1,1,1
2015,1,Larus ridibundus,Black-headed Gull,LC,0,0,1,1,1
2016,1,Larus ridibundus,Black-headed Gull,LC,0,0,1,1,1
2017,1,Larus ridibundus,Black-headed Gull,LC,0,0,1,1,1
2018,1,Larus ridibundus,Black-headed Gull,LC,0,0,1,1,1
2000,1,Morus bassanus,Northern Gannet,LR/lc,0,0,1,1,1
2001,1,Morus bassanus,Northern Gannet,LR/lc,0,0,1,1,1
2002,1,Morus bassanus,Northern Gannet,LR/lc,0,0,1,1,1
2003,1,Morus bassanus,Northern Gannet,LR/lc,0,0,1,1,1
2004,1,Morus bassanus,Northern Gannet,LC,0,0,1,1,1
2005,1,Morus bassanus,Northern Gannet,LC,0,0,1,1,1
2006,1,Morus bassanus,Northern Gannet,LC,0,0,1,1,1
2007,1,Morus bassanus,Northern Gannet,LC,0,0,1,1,1
2008,1,Morus bassanus,Northern Gannet,LC,0,0,1,1,1
2009,1,Morus bassanus,Northern Gannet,LC,0,0,1,1,1
2010,1,Morus bassanus,Northern Gannet,LC,0,0,1,1,1
2011,1,Morus bassanus,Northern Gannet,LC,0,0,1,1,1
2012,1,Morus bassanus,Northern Gannet,LC,0,0,1,1,1
2013,1,Morus bassanus,Northern Gannet,LC,0,0,1,1,1
2014,1,Morus bassanus,Northern Gannet,LC,0,0,1,1,1
2015,1,Morus bassanus,Northern Gannet,LC,0,0,1,1,1
2016,1,Morus bassanus,Northern Gannet,LC,0,0,1,1,1
2017,1,Morus bassanus,Northern Gannet,LC,0,0,1,1,1
2018,1,Morus bassanus,Northern Gannet,LC,0,0,1,1,1
2000,1,Phalacrocorax carbo,Great Cormorant,LR/lc,0,0,1,1,1
2001,1,Phalacrocorax carbo,Great Cormorant,LR/lc,0,0,1,1,1
2002,1,Phalacrocorax carbo,Great Cormorant,LR/lc,0,0,1,1,1
2003,1,Phalacrocorax carbo,Great Cormorant,LR/lc,0,0,1,1,1
2004,1,Phalacrocorax carbo,Great Cormorant,LC,0,0,1,1,1
2005,1,Phalacrocorax carbo,Great Cormorant,LC,0,0,1,1,1
2006,1,Phalacrocorax carbo,Great Cormorant,LC,0,0,1,1,1
2007,1,Phalacrocorax carbo,Great Cormorant,LC,0,0,1,1,1
2008,1,Phalacrocorax carbo,Great Cormorant,LC,0,0,1,1,1
2009,1,Phalacrocorax carbo,Great Cormorant,LC,0,0,1,1,1
2010,1,Phalacrocorax carbo,Great Cormorant,LC,0,0,1,1,1
2011,1,Phalacrocorax carbo,Great Cormorant,LC,0,0,1,1,1
2012,1,Phalacrocorax carbo,Great Cormorant,LC,0,0,1,1,1
2013,1,Phalacrocorax carbo,Great Cormorant,LC,0,0,1,1,1
2014,1,Phalacrocorax carbo,Great Cormorant,LC,0,0,1,1,1
2015,1,Phalacrocorax carbo,Great Cormorant,LC,0,0,1,1,1
2016,1,Phalacrocorax carbo,Great Cormorant,LC,0,0,1,1,1
2017,1,Phalacrocorax carbo,Great Cormorant,LC,0,0,1,1,1
2018,1,Phalacrocorax carbo,Great Cormorant,LC,0,0,1,1,1
2000,1,Puffinus puffinus,Manx Shearwater,LR/lc,0,0,1,1,1
2001,1,Puffinus puffinus,Manx Shearwater,LR/lc,0,0,1,1,1
2002,1,Puffinus puffinus,Manx Shearwater,LR/lc,0,0,1,1,1
2003,1,Puffinus puffinus,Manx Shearwater,LR/lc,0,0,1,1,1
2004,1,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2005,1,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2006,1,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2007,1,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2008,1,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2009,1,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2010,1,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2011,1,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2012,1,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2013,1,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2014,1,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2015,1,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2016,1,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2017,1,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2018,1,Puffinus puffinus,Manx Shearwater,LC,0,0,1,1,1
2000,1,Rissa tridactyla,Black-legged Kittiwake,LR/lc,0,0,0,0,1
2001,1,Rissa tridactyla,Black-legged Kittiwake,LR/lc,0,0,0,0,1
2002,1,Rissa tridactyla,Black-legged Kittiwake,LR/lc,0,0,0,0,1
2003,1,Rissa tridactyla,Black-legged Kittiwake,LR/lc,0,0,0,0,1
2004,1,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2005,1,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2006,1,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2007,1,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2008,1,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2009,1,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2010,1,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2011,1,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2012,1,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2013,1,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2014,1,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2015,1,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2016,1,Rissa tridactyla,Black-legged Kittiwake,LC,0,0,0,0,1
2017,1,Rissa tridactyla,Black-legged Kittiwake,VU,0,0,0,0,1
2018,1,Rissa tridactyla,Black-legged Kittiwake,VU,0,0,0,0,1
2000,1,Sterna dougallii,Roseate Tern,LR/lc,0,0,0,0,1
2001,1,Sterna dougallii,Roseate Tern,LR/lc,0,0,0,0,1
2002,1,Sterna dougallii,Roseate Tern,LR/lc,0,0,0,0,1
2003,1,Sterna dougallii,Roseate Tern,LR/lc,0,0,0,0,1
2004,1,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2005,1,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2006,1,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2007,1,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2008,1,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2009,1,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2010,1,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2011,1,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2012,1,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2013,1,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2014,1,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2015,1,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2016,1,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2017,1,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2018,1,Sterna dougallii,Roseate Tern,LC,0,0,0,0,1
2000,1,Sterna hirundo,Common Tern,LR/lc,0,0,0,0,1
2001,1,Sterna hirundo,Common Tern,LR/lc,0,0,0,0,1
2002,1,Sterna hirundo,Common Tern,LR/lc,0,0,0,0,1
2003,1,Sterna hirundo,Common Tern,LR/lc,0,0,0,0,1
2004,1,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2005,1,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2006,1,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2007,1,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2008,1,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2009,1,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2010,1,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2011,1,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2012,1,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2013,1,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2014,1,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2015,1,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2016,1,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2017,1,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2018,1,Sterna hirundo,Common Tern,LC,0,0,0,0,1
2000,1,Thalasseus sandvicensis,Sandwich Tern,LR/lc,0,0,0,0,1
2001,1,Thalasseus sandvicensis,Sandwich Tern,LR/lc,0,0,0,0,1
2002,1,Thalasseus sandvicensis,Sandwich Tern,LR/lc,0,0,0,0,1
2003,1,Thalasseus sandvicensis,Sandwich Tern,LR/lc,0,0,0,0,1
2004,1,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2005,1,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2006,1,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2007,1,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2008,1,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2009,1,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2010,1,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2011,1,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2012,1,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2013,1,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2014,1,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2015,1,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2016,1,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2017,1,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2018,1,Thalasseus sandvicensis,Sandwich Tern,LC,0,0,0,0,1
2000,1,Uria aalge,Common Murre,LR/lc,0,0,1,1,1
2001,1,Uria aalge,Common Murre,LR/lc,0,0,1,1,1
2002,1,Uria aalge,Common Murre,LR/lc,0,0,1,1,1
2003,1,Uria aalge,Common Murre,LR/lc,0,0,1,1,1
