iucn_sid,am_sid,sciname,cat_code,pop_trend,spatial_source,rgn_id,rgn_name,n_cells,presence,n_spp_rgn
19861,Fis-21630,Salmo trutta,LC,unknown,am,180,United Kingdom,249,NA,2302
19877,Fis-153593,Salvelinus alpinus,LC,unknown,am,180,United Kingdom,291,NA,2302
20084,Fis-30636,Sebastes fasciatus,EN,NA,am,180,United Kingdom,6,NA,2302
41006,Fis-130691,Hippocampus guttulatus,DD,NA,am,180,United Kingdom,60,NA,2302
43972,Fis-22932,Polyprion americanus,DD,NA,am,180,United Kingdom,448,NA,2302
60216,Fis-23075,Centrophorus granulosus,DD,NA,am,180,United Kingdom,43,NA,2302
60344,Fis-22711,Anguilla anguilla,CR,decreasing,am,180,United Kingdom,562,NA,2302
135525,Fis-23736,Pomatoschistus microps,LC,unknown,am,180,United Kingdom,171,NA,2302
135567,Fis-29454,Mugil cephalus,LC,stable,am,180,United Kingdom,395,NA,2302
135574,Fis-24741,Liopsetta glacialis,LC,unknown,am,180,United Kingdom,78,NA,2302
135579,Fis-23602,Liza aurata,LC,unknown,am,180,United Kingdom,241,NA,2302
135606,Fis-22755,Dicentrarchus labrax,LC,unknown,am,180,United Kingdom,332,NA,2302
135660,Fis-52203,Osmerus dentex,LC,unknown,am,180,United Kingdom,46,NA,2302
135681,Fis-23603,Liza saliens,LC,unknown,am,180,United Kingdom,7,NA,2302
135689,Fis-23954,Chelon labrosus,LC,unknown,am,180,United Kingdom,245,NA,2302
135690,Fis-30498,Pleuronectes platessa,LC,increasing,am,180,United Kingdom,429,NA,2302
135714,Fis-25199,Liza ramada,LC,unknown,am,180,United Kingdom,234,NA,2302
135717,Fis-23725,Platichthys flesus,LC,decreasing,am,180,United Kingdom,357,NA,2302
135719,Fis-63912,Lethenteron camtschaticum,LC,unknown,am,180,United Kingdom,72,NA,2302
154616,Fis-49951,Diaphus diadematus,LC,unknown,am,180,United Kingdom,315,NA,2302
154644,Fis-23598,Liparis liparis,LC,unknown,am,180,United Kingdom,439,NA,2302
154687,Fis-22713,Arnoglossus imperialis,LC,unknown,am,180,United Kingdom,244,NA,2302
154698,Fis-50465,Lophodolos indicus,LC,unknown,am,180,United Kingdom,84,NA,2302
154729,Fis-23472,Diaphus rafinesquii,LC,unknown,am,180,United Kingdom,506,NA,2302
154798,Fis-33128,Thalassobathia pelagica,LC,unknown,am,180,United Kingdom,133,NA,2302
154816,Fis-29522,Sebastes mentella,LC,unknown,am,180,United Kingdom,74,NA,2302
154820,Fis-29263,Alepisaurus ferox,LC,unknown,am,180,United Kingdom,556,NA,2302
154838,Fis-24087,Lepidion eques,DD,NA,am,180,United Kingdom,244,NA,2302
154859,Fis-49987,Lampadena pontifex,LC,stable,am,180,United Kingdom,319,NA,2302
154880,Fis-23505,Gaidropsarus macrophthalmus,LC,unknown,am,180,United Kingdom,86,NA,2302
154973,Fis-32457,Bassozetus robustus,LC,unknown,am,180,United Kingdom,103,NA,2302
154981,Fis-146809,Paraliparis copei,DD,NA,am,180,United Kingdom,199,NA,2302
154995,Fis-29910,Diaphus holti,LC,unknown,am,180,United Kingdom,36,NA,2302
154997,Fis-29738,Bregmaceros atlanticus,LC,unknown,am,180,United Kingdom,37,NA,2302
154998,Fis-32104,Argyropelecus hemigymnus,LC,stable,am,180,United Kingdom,472,NA,2302
155030,Fis-22897,Macroramphosus scolopax,LC,unknown,am,180,United Kingdom,468,NA,2302
155044,Fis-22742,Buglossidium luteum,LC,unknown,am,180,United Kingdom,453,NA,2302
155068,Fis-24930,Remora brachyptera,LC,stable,am,180,United Kingdom,558,NA,2302
155075,Fis-7669,Remora albescens,LC,unknown,am,180,United Kingdom,12,NA,2302
155081,Fis-24685,Hyperoglyphe perciformis,LC,unknown,am,180,United Kingdom,1,NA,2302
155093,Fis-32362,Derichthys serpentinus,LC,unknown,am,180,United Kingdom,558,NA,2302
155106,Fis-50459,Kali macrodon,LC,unknown,am,180,United Kingdom,118,NA,2302
155189,Fis-50311,Scopeloberyx opisthopterus,LC,unknown,am,180,United Kingdom,123,NA,2302
155204,Fis-143668,Lycodes paamiuti,LC,unknown,am,180,United Kingdom,110,NA,2302
155227,Fis-132814,Serrivomer lanceolatoides,LC,unknown,am,180,United Kingdom,263,NA,2302
155246,Fis-33179,Synaphobranchus kaupii,LC,stable,am,180,United Kingdom,340,NA,2302
162502,W-Msc-157037,Stoloteuthis leucoptera,DD,NA,am,180,United Kingdom,17,NA,2302
162523,W-Msc-141449,Rossia macrosoma,DD,NA,am,180,United Kingdom,474,NA,2302
162549,W-Msc-141445,Sepia orbignyana,DD,NA,am,180,United Kingdom,172,NA,2302
162552,W-Msc-153083,Rossia palpebrosa,LC,unknown,am,180,United Kingdom,386,NA,2302
162557,W-Msc-141452,Sepietta oweniana,DD,NA,am,180,United Kingdom,433,NA,2302
162587,W-Msc-141548,Spirula spirula,LC,unknown,am,180,United Kingdom,7,NA,2302
162610,W-Msc-141450,Sepietta neglecta,DD,NA,am,180,United Kingdom,427,NA,2302
162644,W-Msc-141446,Heteroteuthis dispar,DD,NA,am,180,United Kingdom,13,NA,2302
162663,W-Msc-141447,Neorossia caroli,LC,unknown,am,180,United Kingdom,503,NA,2302
162664,W-Msc-141444,Sepia officinalis,LC,unknown,am,180,United Kingdom,428,NA,2302
162906,W-Msc-139424,Helicocranchia pfefferi,DD,NA,am,180,United Kingdom,491,NA,2302
162909,SLB-71435,Egea inermis,LC,unknown,am,180,United Kingdom,548,NA,2302
162910,SLB-71429,Chtenopteryx sicula,DD,NA,am,180,United Kingdom,205,NA,2302
162939,W-Msc-410348,Cirrothauma magna,DD,NA,am,180,United Kingdom,2,NA,2302
162941,W-Msc-181386,Cranchia scabra,LC,unknown,am,180,United Kingdom,551,NA,2302
162948,SLB-71450,Liguriella podophthalma,DD,NA,am,180,United Kingdom,106,NA,2302
162961,W-Msc-196598,Joubiniteuthis portieri,LC,unknown,am,180,United Kingdom,489,NA,2302
162986,W-Msc-138849,Japetella diaphana,LC,unknown,am,180,United Kingdom,206,NA,2302
162988,W-Msc-141962,Vitreledonella richardi,LC,unknown,am,180,United Kingdom,506,NA,2302
163002,W-Msc-153087,Illex illecebrosus,LC,unknown,am,180,United Kingdom,305,NA,2302
163042,W-Msc-342212,Cirroteuthis muelleri,LC,unknown,am,180,United Kingdom,158,NA,2302
163052,SLB-71496,Abraliopsis morisi,LC,unknown,am,180,United Kingdom,400,NA,2302
163067,W-Msc-342386,Sandalops melancholicus,DD,NA,am,180,United Kingdom,548,NA,2302
163073,W-Msc-140111,Histioteuthis bonnellii,LC,unknown,am,180,United Kingdom,229,NA,2302
163080,W-Msc-138803,Argonauta argo,LC,unknown,am,180,United Kingdom,221,NA,2302
163095,W-Msc-138852,Brachioteuthis riisei,DD,NA,am,180,United Kingdom,548,NA,2302
163114,W-Msc-139688,Abralia veranyi,LC,unknown,am,180,United Kingdom,496,NA,2302
163156,W-Msc-153063,Galiteuthis armata,LC,unknown,am,180,United Kingdom,123,NA,2302
163163,W-Msc-181382,Ommastrephes bartramii,LC,unknown,am,180,United Kingdom,489,NA,2302
163172,W-Msc-153122,Stauroteuthis syrtensis,DD,NA,am,180,United Kingdom,179,NA,2302
163177,W-Msc-181381,Histioteuthis reversa,LC,unknown,am,180,United Kingdom,20,NA,2302
163186,W-Msc-153097,Gonatus fabricii,LC,unknown,am,180,United Kingdom,396,NA,2302
163189,W-Msc-140624,Todarodes sagittatus,LC,unknown,am,180,United Kingdom,508,NA,2302
163207,SLB-70957,Haliphron atlanticus,LC,unknown,am,180,United Kingdom,555,NA,2302
163211,W-Msc-215276,Argonauta hians,LC,unknown,am,180,United Kingdom,515,NA,2302
163218,W-Msc-341818,Liocranchia reinhardti,LC,unknown,am,180,United Kingdom,558,NA,2302
163228,W-Msc-141680,Thysanoteuthis rhombus,LC,unknown,am,180,United Kingdom,64,NA,2302
163256,SLB-71465,Discoteuthis discus,LC,unknown,am,180,United Kingdom,481,NA,2302
163258,W-Msc-139429,Teuthowenia megalops,LC,unknown,am,180,United Kingdom,130,NA,2302
163265,W-Msc-342218,Architeuthis dux,LC,unknown,am,180,United Kingdom,196,NA,2302
163267,W-Msc-140609,Taningia danae,LC,unknown,am,180,United Kingdom,7,NA,2302
163269,W-Msc-140621,Illex coindetii,LC,unknown,am,180,United Kingdom,473,NA,2302
163284,W-Msc-153094,Grimpoteuthis wuelkeri,DD,NA,am,180,United Kingdom,55,NA,2302
163294,W-Msc-342337,Hyaloteuthis pelagica,LC,unknown,am,180,United Kingdom,527,NA,2302
163304,W-Msc-140653,Opisthoteuthis grimaldii,DD,NA,am,180,United Kingdom,65,NA,2302
163312,W-Msc-157017,Bolitaena pygmaea,LC,unknown,am,180,United Kingdom,371,NA,2302
163338,W-Msc-139422,Bathothauma lyromma,LC,unknown,am,180,United Kingdom,548,NA,2302
163347,W-Msc-181379,Octopoteuthis sicula,DD,NA,am,180,United Kingdom,171,NA,2302
163353,W-Msc-157031,Pyroteuthis margaritifera,LC,unknown,am,180,United Kingdom,517,NA,2302
163369,W-Msc-140625,Todaropsis eblanae,LC,unknown,am,180,United Kingdom,475,NA,2302
163375,W-Msc-140649,Onychoteuthis banksii,DD,NA,am,180,United Kingdom,491,NA,2302
169975,ITS-97657,Palinurus elephas,VU,decreasing,am,180,United Kingdom,394,NA,2302
170350,Fis-29358,Coryphaena equiselis,LC,stable,am,180,United Kingdom,1,NA,2302
176050,W-Msc-153067,Opisthoteuthis calypso,VU,unknown,am,180,United Kingdom,112,NA,2302
176053,W-Msc-153093,Grimpoteuthis boylei,LC,unknown,am,180,United Kingdom,1,NA,2302
176054,W-Msc-153073,Grimpoteuthis challengeri,LC,unknown,am,180,United Kingdom,1,NA,2302
176066,SLB-71422,Chiroteuthis veranyi,LC,unknown,am,180,United Kingdom,207,NA,2302
176079,W-Msc-341869,Stigmatoteuthis dofleini,LC,unknown,am,180,United Kingdom,24,NA,2302
176088,W-Msc-141097,Pterygioteuthis giardi,LC,unknown,am,180,United Kingdom,34,NA,2302
185146,Fis-32464,Tripterygion delaisi,LC,stable,am,180,United Kingdom,46,NA,2302
185182,Fis-23467,Dactylopterus volitans,LC,unknown,am,180,United Kingdom,86,NA,2302
189828,Fis-62843,Trachyscorpia cristulata,LC,unknown,am,180,United Kingdom,84,NA,2302
190064,Fis-31213,Chaunax pictus,LC,unknown,am,180,United Kingdom,60,NA,2302
190065,Fis-47646,Cottunculus thomsonii,LC,unknown,am,180,United Kingdom,382,NA,2302
190067,Fis-29877,Cryptopsaras couesii,LC,unknown,am,180,United Kingdom,555,NA,2302
190087,Fis-27737,Pollichthys mauli,LC,unknown,am,180,United Kingdom,312,NA,2302
190089,Fis-33804,Diceratias pileatus,LC,unknown,am,180,United Kingdom,116,NA,2302
190090,Fis-30742,Trichiurus lepturus,LC,stable,am,180,United Kingdom,11,NA,2302
190093,Fis-25410,Malacocephalus laevis,LC,unknown,am,180,United Kingdom,129,NA,2302
190100,Fis-23555,Hygophum benoiti,LC,stable,am,180,United Kingdom,1,NA,2302
190101,Fis-30683,Sudis hyalina,DD,NA,am,180,United Kingdom,13,NA,2302
190116,Fis-30255,Luvarus imperialis,LC,unknown,am,180,United Kingdom,460,NA,2302
190130,Fis-34764,Argyripnus atlanticus,LC,unknown,am,180,United Kingdom,32,NA,2302
190133,Fis-23454,Cyclothone microdon,LC,stable,am,180,United Kingdom,206,NA,2302
190147,Fis-31235,Searsia koefoedi,LC,unknown,am,180,United Kingdom,141,NA,2302
190149,Fis-33790,Malacosteus niger,LC,unknown,am,180,United Kingdom,123,NA,2302
190154,Fis-62428,Bassozetus compressus,LC,unknown,am,180,United Kingdom,83,NA,2302
190157,Fis-49079,Lophodolos acanthognathus,LC,unknown,am,180,United Kingdom,132,NA,2302
190163,Fis-30017,Exocoetus obtusirostris,LC,unknown,am,180,United Kingdom,176,NA,2302
190176,Fis-33734,Bonapartia pedaliota,LC,unknown,am,180,United Kingdom,82,NA,2302
190197,Fis-35155,Diaphus mollis,LC,stable,am,180,United Kingdom,36,NA,2302
190198,Fis-28101,Talismania antillarum,LC,unknown,am,180,United Kingdom,7,NA,2302
190207,Fis-30248,Lophotus lacepede,LC,unknown,am,180,United Kingdom,64,NA,2302
190211,Fis-58405,Scomberesox saurus,LC,unknown,am,180,United Kingdom,562,NA,2302
190214,Fis-30349,Nemichthys scolopaceus,LC,unknown,am,180,United Kingdom,86,NA,2302
190217,Fis-34615,Platytroctes apus,LC,unknown,am,180,United Kingdom,173,NA,2302
190237,Fis-50714,Squalogadus modificatus,LC,unknown,am,180,United Kingdom,116,NA,2302
190239,Fis-25469,Poromitra crassiceps,LC,unknown,am,180,United Kingdom,240,NA,2302
190250,Fis-27265,Gymnothorax maderensis,LC,unknown,am,180,United Kingdom,59,NA,2302
190258,Fis-139714,Polymetme thaeocoryla,LC,unknown,am,180,United Kingdom,127,NA,2302
190261,Fis-25178,Notolychnus valdiviae,LC,stable,am,180,United Kingdom,208,NA,2302
190262,Fis-33111,Luciobrotula corethromycter,LC,unknown,am,180,United Kingdom,137,NA,2302
190264,Fis-34410,Rouleina maderensis,LC,unknown,am,180,United Kingdom,101,NA,2302
190265,Fis-34147,Bathytroctes microlepis,LC,unknown,am,180,United Kingdom,106,NA,2302
190276,Fis-23466,Cheilopogon melanurus,LC,unknown,am,180,United Kingdom,31,NA,2302
190278,Fis-50449,Dolopichthys longicornis,LC,unknown,am,180,United Kingdom,98,NA,2302
190282,Fis-138460,Bathytroctes macrolepis,LC,unknown,am,180,United Kingdom,3,NA,2302
190287,Fis-23582,Lepidocybium flavobrunneum,LC,unknown,am,180,United Kingdom,11,NA,2302
190298,Fis-34206,Photostylus pycnopterus,LC,unknown,am,180,United Kingdom,118,NA,2302
190300,Fis-52356,Cyclothone alba,LC,stable,am,180,United Kingdom,550,NA,2302
190313,Fis-125893,Maurolicus weitzmani,LC,unknown,am,180,United Kingdom,562,NA,2302
190314,Fis-26207,Diaphus dumerilii,DD,NA,am,180,United Kingdom,64,NA,2302
190315,Fis-64212,Serrivomer beanii,LC,unknown,am,180,United Kingdom,465,NA,2302
190316,Fis-49922,Scopelarchus analis,LC,unknown,am,180,United Kingdom,562,NA,2302
190317,Fis-28239,Bolinichthys photothorax,LC,stable,am,180,United Kingdom,1,NA,2302
190324,Fis-29801,Chauliodus sloani,LC,unknown,am,180,United Kingdom,206,NA,2302
190330,Fis-30555,Pterycombus brama,LC,unknown,am,180,United Kingdom,544,NA,2302
190346,Fis-23893,Zu cristatus,LC,unknown,am,180,United Kingdom,329,NA,2302
190347,Fis-22974,Zenopsis conchifer,LC,stable,am,180,United Kingdom,275,NA,2302
190349,Fis-33146,Cetomimus gillii,DD,NA,am,180,United Kingdom,109,NA,2302
190350,Fis-25456,Avocettina infans,LC,unknown,am,180,United Kingdom,7,NA,2302
190353,Fis-34848,Aristostomias tittmanni,LC,unknown,am,180,United Kingdom,78,NA,2302
190356,Fis-26565,Aldrovandia affinis,LC,unknown,am,180,United Kingdom,117,NA,2302
190362,Fis-22194,Sphyraena guachancho,LC,unknown,am,180,United Kingdom,104,NA,2302
190373,Fis-125182,Astronesthes atlanticus,LC,unknown,am,180,United Kingdom,107,NA,2302
190378,Fis-30575,Regalecus glesne,LC,unknown,am,180,United Kingdom,553,NA,2302
190385,Fis-23905,Antimora rostrata,LC,unknown,am,180,United Kingdom,142,NA,2302
190389,Fis-27313,Scopelosaurus lepidus,LC,unknown,am,180,United Kingdom,460,NA,2302
190390,Fis-28238,Bolinichthys indicus,LC,stable,am,180,United Kingdom,36,NA,2302
190400,Fis-30752,Uroconger syringinus,LC,unknown,am,180,United Kingdom,363,NA,2302
190402,Fis-50565,Spiniphryne gladisfenae,LC,unknown,am,180,United Kingdom,40,NA,2302
190403,Fis-26349,Polyacanthonotus challengeri,LC,unknown,am,180,United Kingdom,116,NA,2302
190422,Fis-23639,Mola mola,VU,decreasing,am,180,United Kingdom,548,NA,2302
190425,Fis-23605,Lobianchia gemellarii,LC,unknown,am,180,United Kingdom,461,NA,2302
190432,Fis-30588,Ruvettus pretiosus,LC,stable,am,180,United Kingdom,63,NA,2302
190447,Fis-53389,Caulophryne jordani,LC,unknown,am,180,United Kingdom,404,NA,2302
190452,Fis-23192,Naucrates ductor,LC,stable,am,180,United Kingdom,441,NA,2302
190453,Fis-30329,Myctophum punctatum,LC,stable,am,180,United Kingdom,562,NA,2302
190466,Fis-23844,Symbolophorus veranyi,LC,unknown,am,180,United Kingdom,177,NA,2302
190485,Fis-139729,Melanolagus bericoides,LC,unknown,am,180,United Kingdom,402,NA,2302
193615,Fis-23758,Ranzania laevis,LC,unknown,am,180,United Kingdom,492,NA,2302
193736,Fis-32303,Balistes capriscus,VU,decreasing,am,180,United Kingdom,276,NA,2302
193752,Fis-27714,Chilomycterus reticulatus,LC,unknown,am,180,United Kingdom,23,NA,2302
194816,Fis-33202,Bathypterois mediterraneus,LC,unknown,am,180,United Kingdom,122,NA,2302
194821,Fis-139533,Eretmophorus kleinenbergi,LC,unknown,am,180,United Kingdom,58,NA,2302
194967,Fis-34925,Chlopsis bicolor,LC,unknown,am,180,United Kingdom,59,NA,2302
194969,Fis-22866,Conger conger,LC,increasing,am,180,United Kingdom,456,NA,2302
194974,Fis-30321,Muraena helena,LC,unknown,am,180,United Kingdom,84,NA,2302
194989,Fis-27300,Dysomma brevirostre,LC,unknown,am,180,United Kingdom,128,NA,2302
194991,Fis-29300,Atherina presbyter,LC,unknown,am,180,United Kingdom,241,NA,2302
194995,Fis-23502,Evermannella balbo,LC,unknown,am,180,United Kingdom,313,NA,2302
194997,Fis-136946,Arctozenus risso,LC,unknown,am,180,United Kingdom,558,NA,2302
195001,Fis-34865,Bathysaurus mollis,LC,unknown,am,180,United Kingdom,5,NA,2302
195038,Fis-23580,Lampris guttatus,LC,unknown,am,180,United Kingdom,406,NA,2302
195091,Fis-22852,Brama brama,LC,unknown,am,180,United Kingdom,562,NA,2302
195093,Fis-22764,Helicolenus dactylopterus,LC,unknown,am,180,United Kingdom,467,NA,2302
195805,Fis-26588,Gymnothorax vicinus,LC,unknown,am,180,United Kingdom,75,NA,2302
195838,Fis-27254,Aldrovandia phalacra,LC,unknown,am,180,United Kingdom,135,NA,2302
195852,Fis-30362,Notacanthus chemnitzii,LC,unknown,am,180,United Kingdom,279,NA,2302
196057,Fis-30336,Myxine glutinosa,LC,unknown,am,180,United Kingdom,503,NA,2302
196060,Fis-33010,Myxine ios,LC,unknown,am,180,United Kingdom,111,NA,2302
198547,Fis-27195,Bathysolea profundicola,LC,unknown,am,180,United Kingdom,13,NA,2302
198550,Fis-23739,Pomatoschistus pictus,LC,stable,am,180,United Kingdom,242,NA,2302
198552,Fis-23738,Pomatoschistus norvegicus,LC,stable,am,180,United Kingdom,413,NA,2302
198553,Fis-23717,Pegusa lascaris,LC,unknown,am,180,United Kingdom,187,NA,2302
198554,Fis-29314,Callionymus reticulatus,LC,stable,am,180,United Kingdom,350,NA,2302
198557,Fis-22743,Capros aper,LC,unknown,am,180,United Kingdom,447,NA,2302
198562,Fis-22727,Merluccius merluccius,LC,unknown,am,180,United Kingdom,497,NA,2302
198564,Fis-26888,Cataetyx alleni,LC,stable,am,180,United Kingdom,5,NA,2302
198568,Fis-22756,Engraulis encrasicolus,LC,decreasing,am,180,United Kingdom,450,NA,2302
198570,Fis-29403,Gobius niger,LC,stable,am,180,United Kingdom,352,NA,2302
198571,Fis-22856,Centrolophus niger,LC,unknown,am,180,United Kingdom,530,NA,2302
198573,Fis-22717,Belone belone,LC,unknown,am,180,United Kingdom,249,NA,2302
198576,Fis-48192,Cheilopogon heterurus,LC,unknown,am,180,United Kingdom,194,NA,2302
198578,Fis-29731,Beryx decadactylus,LC,unknown,am,180,United Kingdom,327,NA,2302
198579,Fis-31166,Hoplostethus mediterraneus,LC,unknown,am,180,United Kingdom,360,NA,2302
198580,Fis-23765,Sardina pilchardus,LC,unknown,am,180,United Kingdom,358,NA,2302
198585,Fis-22726,Merlangius merlangus,LC,unknown,am,180,United Kingdom,422,NA,2302
198590,Fis-23507,Gaidropsarus vulgaris,LC,stable,am,180,United Kingdom,352,NA,2302
198594,Fis-26887,Coryphaenoides guentheri,LC,unknown,am,180,United Kingdom,112,NA,2302
198595,Fis-26886,Coryphaenoides mediterraneus,LC,unknown,am,180,United Kingdom,107,NA,2302
198597,Fis-25413,Nezumia aequalis,LC,unknown,am,180,United Kingdom,206,NA,2302
198599,Fis-25180,Trachyrincus scabrus,LC,unknown,am,180,United Kingdom,6,NA,2302
198602,Fis-23643,Mora moro,LC,unknown,am,180,United Kingdom,125,NA,2302
198606,Fis-22763,Diplecogaster bimaculata,LC,unknown,am,180,United Kingdom,254,NA,2302
198609,Fis-31236,Lophius budegassa,DD,NA,am,180,United Kingdom,52,NA,2302
198610,Fis-29433,Lophius piscatorius,LC,unknown,am,180,United Kingdom,494,NA,2302
198611,Fis-22718,Benthosema glaciale,LC,stable,am,180,United Kingdom,558,NA,2302
198612,Fis-23087,Ceratoscopelus maderensis,LC,unknown,am,180,United Kingdom,516,NA,2302
198613,Fis-15811,Diaphus metopoclampus,LC,unknown,am,180,United Kingdom,344,NA,2302
198614,Fis-26531,Diogenichthys atlanticus,LC,stable,am,180,United Kingdom,36,NA,2302
198615,Fis-23484,Electrona risso,LC,unknown,am,180,United Kingdom,91,NA,2302
198616,Fis-23515,Gonichthys cocco,LC,stable,am,180,United Kingdom,36,NA,2302
198618,Fis-23165,Lampanyctus crocodilus,LC,unknown,am,180,United Kingdom,553,NA,2302
198619,Fis-23167,Lampanyctus pusillus,LC,unknown,am,180,United Kingdom,440,NA,2302
198620,Fis-23604,Lobianchia dofleini,LC,stable,am,180,United Kingdom,36,NA,2302
198621,Fis-49104,Notoscopelus bolini,LC,unknown,am,180,United Kingdom,36,NA,2302
198623,Fis-33837,Cataetyx laticeps,LC,unknown,am,180,United Kingdom,117,NA,2302
198626,Fis-31228,Alepocephalus rostratus,LC,stable,am,180,United Kingdom,133,NA,2302
198628,Fis-23637,Microstoma microstoma,LC,unknown,am,180,United Kingdom,96,NA,2302
198630,Fis-23518,Gymnammodytes cicerelus,LC,stable,am,180,United Kingdom,15,NA,2302
198633,Fis-23406,Callanthias ruber,LC,unknown,am,180,United Kingdom,35,NA,2302
198634,Fis-29313,Callionymus lyra,LC,unknown,am,180,United Kingdom,450,NA,2302
198635,Fis-29752,Callionymus maculatus,LC,unknown,am,180,United Kingdom,446,NA,2302
198640,Fis-23407,Campogramma glaycos,LC,stable,am,180,United Kingdom,169,NA,2302
198644,Fis-23865,Trachinotus ovatus,LC,unknown,am,180,United Kingdom,383,NA,2302
198645,Fis-23870,Trachurus mediterraneus,LC,stable,am,180,United Kingdom,13,NA,2302
198647,Fis-23873,Trachurus trachurus,VU,decreasing,am,180,United Kingdom,359,NA,2302
198649,Fis-22746,Cepola macrophthalma,LC,unknown,am,180,United Kingdom,414,NA,2302
198651,Fis-23759,Remora remora,LC,stable,am,180,United Kingdom,390,NA,2302
198653,Fis-24013,Epigonus telescopus,LC,unknown,am,180,United Kingdom,421,NA,2302
198654,Fis-22751,Crystallogobius linearis,LC,stable,am,180,United Kingdom,430,NA,2302
198659,Fis-33246,Gobius couchi,LC,unknown,am,180,United Kingdom,31,NA,2302
198660,Fis-32466,Gobius cruentatus,LC,stable,am,180,United Kingdom,72,NA,2302
198662,Fis-29404,Gobius paganellus,LC,stable,am,180,United Kingdom,162,NA,2302
198663,Fis-112804,Gobius roulei,LC,unknown,am,180,United Kingdom,20,NA,2302
198664,Fis-23169,Lebetus guilleti,LC,unknown,am,180,United Kingdom,172,NA,2302
198665,Fis-26637,Lesueurigobius friesii,LC,unknown,am,180,United Kingdom,394,NA,2302
198668,Fis-23737,Pomatoschistus minutus,LC,stable,am,180,United Kingdom,410,NA,2302
198669,Fis-26639,Thorogobius ephippiatus,LC,stable,am,180,United Kingdom,208,NA,2302
198671,Fis-22873,Dicentrarchus punctatus,LC,unknown,am,180,United Kingdom,4,NA,2302
198674,Fis-30320,Mullus surmuletus,LC,unknown,am,180,United Kingdom,445,NA,2302
198676,Fis-23453,Cubiceps gracilis,LC,unknown,am,180,United Kingdom,562,NA,2302
198706,Fis-23017,Argyrosomus regius,LC,unknown,am,180,United Kingdom,207,NA,2302
198707,Fis-30611,Sciaena umbra,NT,decreasing,am,180,United Kingdom,77,NA,2302
198708,Fis-31013,Umbrina canariensis,LC,unknown,am,180,United Kingdom,34,NA,2302
198716,Fis-30711,Tetragonurus cuvieri,LC,stable,am,180,United Kingdom,555,NA,2302
198719,Fis-30734,Trachinus draco,LC,unknown,am,180,United Kingdom,416,NA,2302
198720,Fis-31205,Trachinus radiatus,LC,unknown,am,180,United Kingdom,212,NA,2302
198721,Fis-23173,Lepidopus caudatus,DD,NA,am,180,United Kingdom,447,NA,2302
198722,Fis-30751,Uranoscopus scaber,LC,unknown,am,180,United Kingdom,260,NA,2302
198723,Fis-30286,Melanostigma atlanticum,LC,unknown,am,180,United Kingdom,125,NA,2302
198724,Fis-22714,Arnoglossus laterna,LC,unknown,am,180,United Kingdom,422,NA,2302
198726,Fis-25392,Citharus linguatula,LC,stable,am,180,United Kingdom,230,NA,2302
198734,Fis-149580,Microchirus azevia,DD,NA,am,180,United Kingdom,114,NA,2302
198736,Fis-22728,Microchirus variegatus,LC,unknown,am,180,United Kingdom,391,NA,2302
198739,Fis-23272,Solea solea,DD,NA,am,180,United Kingdom,381,NA,2302
198741,Fis-23853,Taurulus bubalis,LC,unknown,am,180,United Kingdom,429,NA,2302
198742,Fis-23720,Peristedion cataphractum,LC,stable,am,180,United Kingdom,84,NA,2302
198747,Fis-30626,Scorpaena porcus,LC,unknown,am,180,United Kingdom,139,NA,2302
